Date;Payment;left_budget;Category;campus_spendings
2025-04-02-00.28.48.466631;-199,90 TL;16.128,65 TL;Entertainment Subscriptions;0
2025-04-02-00.09.36.745799;-40,00 TL;16.328,55 TL;Groceries;1
2025-04-01-23.55.31.195887;-255,00 TL;16.368,55 TL;Coffee&Cafes;0
2025-04-01-20.55.06.328213;-32,95 TL;16.623,55 TL;Groceries;0
2025-04-01-20.54.03.485147;-13,50 TL;16.656,50 TL;Groceries;0
2025-04-01-18.28.45.463624;-170,00 TL;16.670,00 TL;Coffee&Cafes;0
2025-04-01-17.44.03.567992;-155,00 TL;16.840,00 TL;Dining Out;0
2025-04-01-15.48.11.896431;-211,35 TL;16.995,00 TL;Groceries;0
2025-03-31-18.45.50.877871;-80,00 TL;17.206,35 TL;Dining Out;0
2025-03-31-15.25.47.818177;-270,00 TL;17.286,35 TL;Dining Out;0
2025-03-30-17.46.59.344946;-51,00 TL;17.556,35 TL;Groceries;1
2025-03-28-19.43.27.414142;-218,00 TL;107,35 TL;Coffee&Cafes;1
2025-03-28-13.37.46.917688;-295,00 TL;325,35 TL;Dining Out;1
2025-03-27-19.52.05.297487;-310,00 TL;620,35 TL;Dining Out;1
2025-03-27-13.59.26.882846;-142,00 TL;930,35 TL;Coffee&Cafes;0
2025-03-27-12.01.36.207150;-230,00 TL;1.072,35 TL;Dining Out;1
2025-03-27-00.56.57.643503;-30,00 TL;1.302,35 TL;Dining Out;1
2025-03-26-21.47.09.123416;-215,00 TL;1.332,35 TL;Dining Out;1
2025-03-26-19.08.15.349101;-1.472,00 TL;1.547,35 TL;Investment;0
2025-03-26-15.17.46.792427;-140,00 TL;3.019,35 TL;Dining Out;1
2025-03-26-15.01.21.526153;-280,00 TL;3.159,35 TL;Dining Out;1
2025-03-26-13.45.32.092495;-105,00 TL;3.439,35 TL;Coffee&Cafes;1
2025-03-26-10.11.27.897071;-15,50 TL;3.544,35 TL;Groceries;1
2025-03-25-16.51.00.048478;-170,00 TL;2.086,95 TL;Dining Out;1
2025-03-25-11.52.28.390686;-235,00 TL;2.256,95 TL;Dining Out;1
2025-03-25-00.50.28.867495;-20,00 TL;2.491,95 TL;Groceries;1
2025-03-24-18.12.35.297619;-260,00 TL;2.511,95 TL;Dining Out;1
2025-03-24-13.47.36.917073;-254,00 TL;2.771,95 TL;Coffee&Cafes;1
2025-03-24-03.00.43.770718;-250,00 TL;3.025,95 TL;Dining Out;1
2025-03-23-19.27.28.341675;-210,00 TL;3.275,95 TL;Transportation;0
2025-03-23-14.23.33.700597;-279,99 TL;3.485,95 TL;Dining Out;0
2025-03-23-01.54.34.757793;-320,00 TL;3.765,94 TL;Dining Out;0
2025-03-23-01.36.56.105791;-89,00 TL;4.085,94 TL;Transportation;0
2025-03-23-01.00.42.852864;-210,00 TL;4.174,94 TL;Transportation;0
2025-03-22-15.52.17.083319;-240,00 TL;4.384,94 TL;Dining Out;1
2025-03-22-12.22.23.102905;-80,00 TL;4.624,94 TL;Coffee&Cafes;1
2025-03-22-11.49.33.454201;-185,00 TL;4.704,94 TL;Dining Out;1
2025-03-21-18.41.12.255594;-260,00 TL;22.389,94 TL;Dining Out;1
2025-03-21-16.59.35.581193;-114,00 TL;22.649,94 TL;Coffee&Cafes;1
2025-03-21-14.01.07.478411;-158,00 TL;22.763,94 TL;Coffee&Cafes;1
2025-03-20-20.24.47.887795;-132,00 TL;22.921,94 TL;Entertainment Subscriptions;0
2025-03-20-18.04.37.183020;-102,00 TL;23.053,94 TL;Coffee&Cafes;1
2025-03-20-14.46.26.470756;-120,00 TL;5.655,94 TL;Dining Out;1
2025-03-20-11.33.11.364160;-235,00 TL;5.775,94 TL;Dining Out;1
2025-03-20-10.25.16.770874;-350,00 TL;6.010,94 TL;Event Tickets;0
2025-03-19-18.13.46.381429;-530,00 TL;6.360,94 TL;Dining Out;1
2025-03-19-16.41.53.491368;-15,00 TL;6.890,94 TL;Groceries;0
2025-03-19-12.37.19.570020;-335,00 TL;6.905,94 TL;Coffee&Cafes;1
2025-03-18-16.31.34.727911;-18,00 TL;7.240,94 TL;Groceries;1
2025-03-18-15.53.46.516047;-130,00 TL;7.258,94 TL;Transportation;0
2025-03-18-13.37.16.115503;-259,00 TL;7.388,94 TL;Coffee&Cafes;1
2025-03-17-23.50.07.625177;-305,00 TL;7.647,94 TL;Dining Out;1
2025-03-17-18.15.03.209182;-260,00 TL;7.952,94 TL;Dining Out;1
2025-03-17-15.55.27.106715;-163,00 TL;8.212,94 TL;Coffee&Cafes;1
2025-03-17-13.13.41.670906;-254,00 TL;8.375,94 TL;Coffee&Cafes;1
2025-03-16-19.45.55.509756;-299,00 TL;8.629,94 TL;Shopping;0
2025-03-16-19.00.30.358858;-260,00 TL;8.928,94 TL;Dining Out;1
2025-03-16-15.25.02.853120;-115,00 TL;9.188,94 TL;Coffee&Cafes;1
2025-03-16-11.08.04.258906;-257,00 TL;9.303,94 TL;Coffee&Cafes;1
2025-03-15-19.28.46.066696;-102,00 TL;9.560,94 TL;Coffee&Cafes;1
2025-03-15-19.10.05.820732;-125,00 TL;9.662,94 TL;Dining Out;1
2025-03-15-18.46.27.883431;-310,00 TL;9.787,94 TL;Dining Out;1
2025-03-15-12.54.10.999632;-114,00 TL;10.097,94 TL;Coffee&Cafes;1
2025-03-15-02.47.45.527537;-2,51 TL;10.211,94 TL;Transportation;0
2025-03-14-23.26.01.788691;-16,00 TL;9.964,45 TL;Groceries;0
2025-03-14-21.27.18.390648;-80,00 TL;9.980,45 TL;Coffee&Cafes;1
2025-03-14-18.24.40.587988;-80,00 TL;10.060,45 TL;Coffee&Cafes;1
2025-03-14-17.42.08.982837;-240,00 TL;10.140,45 TL;Dining Out;1
2025-03-14-17.40.38.010675;-200,00 TL;10.380,45 TL;Dining Out;1
2025-03-14-11.44.40.182948;-255,00 TL;10.580,45 TL;Dining Out;0
2025-03-13-21.43.06.374959;-119,00 TL;10.735,50 TL;Coffee&Cafes;1
2025-03-13-19.26.54.714334;-103,50 TL;10.854,50 TL;Transportation;0
2025-03-13-18.44.29.772502;-620,00 TL;10.958,00 TL;Dining Out;1
2025-03-13-14.41.15.194214;-130,00 TL;11.578,00 TL;Dining Out;1
2025-03-12-22.42.02.289484;-8,00 TL;11.708,00 TL;Groceries;0
2025-03-12-20.14.56.718515;-115,00 TL;11.716,00 TL;Dining Out;1
2025-03-12-19.33.30.786719;-113,00 TL;11.831,00 TL;Dining Out;1
2025-03-12-18.41.17.547021;-499,99 TL;11.944,00 TL;Shopping;0
2025-03-12-17.43.05.534152;-102,50 TL;12.443,99 TL;Transportation;0
2025-03-12-16.42.02.861652;-200,00 TL;12.546,49 TL;Transportation;0
2025-03-12-14.26.03.891776;-129,00 TL;12.746,49 TL;Coffee&Cafes;1
2025-03-12-13.46.21.435781;-130,00 TL;12.875,49 TL;Dining Out;1
